"Invoice Number",""
"Invoice Date","2023-09-02"
"Due Date",""
"Total Amount","800.00"
"Currency",""
"Vendor Name","JAY TOURS AND TRAVELS"
"Vendor GSTIN",""
"Vendor PAN",""
"Vendor Email",""
"Vendor Phone",""
"Vendor Address","ASTC Ground, G. S. Road, Paltan Bazar, Guwahati-781008, Assam"
"Vendor State",""
"Vendor Pincode",""
"Customer Name","TRA"
"Customer GSTIN",""
"Customer Address",""
"Customer State",""
"Customer Phone",""
"Subtotal","0.00"
"Taxable Amount","0.00"
"Discount","0.00"
"Shipping Charges","0.00"
"Other Charges","0.00"
"Roundoff","0.00"
"CGST","0.00"
"SGST","0.00"
"IGST","0.00"
"UGST","0.00"
"CESS","0.00"
"Total GST","0.00"
"HSN Code",""
"SAC Code",""
"Place of Supply",""
"Bank Name",""
"Account Number",""
"IFSC Code",""
"SWIFT Code",""
"Payment Status","pending"
"Payment Method",""
"Payment Terms",""
"PO Number",""
"PO Date",""
"Invoice Type",""
"Supply Type",""
"Reverse Charge",""
"VAT","0.00"
"Service Tax","0.00"
"TDS Amount","0.00"
"TCS Amount","0.00"
"Bill of Entry",""
"Port Code",""
"",""

"#","Description","HSN/SAC","Quantity","Rate","Amount","CGST Rate","CGST Amount","SGST Rate","SGST Amount","IGST Rate","IGST Amount","Line Total"
"1","TOURIST EMBARCATION CARD","N/A","1.00","800.00","800.00","0.0","0.00","0.0","0.00","0.0","0.00","800.00"

"","","","","TOTALS:","0.00","","0.00","","0.00","","0.00","800.00"
